star,x_zero_indexed,y_zero_indexed,wcs_ra_deg,wcs_dec_deg
T1,1847.7697571312,1742.2782584044,297.0436710770,18.6988837647
C2,2717.5511958963,3166.0418374084,296.9497492724,18.5566396628
C3,1696.4886274653,569.0435676901,297.0611632854,18.8167005995
C4,655.9210771991,3305.5391706089,297.1683188115,18.5402813361
C5,3129.4405200752,1841.8396978082,296.9075302927,18.6902326895
C6,2076.4329401829,3252.5715591676,297.0176494949,18.5472461319
C7,3329.4582530315,504.7249243195,296.8878215635,18.8248856910
C8,633.4050007315,2369.5648743628,297.1718540962,18.6343947192
C9,2001.3494026172,2779.5826067980,297.0261551396,18.5947329080
C10,2299.3450577257,1051.7913444236,296.9965474037,18.7688132465
C11,2512.4868891586,1964.0885501724,296.9728551451,18.6772984103
