star,x_pixel,y_pixel,brightness_adu,width_pixels
1,948.7582305467917,1422.5858323154894,538894.9313354492,9.596729249071664
2,1277.522713755956,3071.4884887187777,486647.50439453125,9.794759557856866
3,3227.6424065863876,931.1947082935001,352867.2548828125,9.771198070968737
4,1404.760205872204,2186.9391029087847,350826.2391357422,9.557336235881156
5,718.5982750818529,620.4035094071348,298480.9600830078,9.410510463068814
6,2960.1458112767245,2844.3626955265513,317840.9811401367,9.749837883256273
7,2357.213525604572,1641.1341796027211,291034.21044921875,9.62381223561911
8,1188.738089935477,2505.4323473504787,274691.13885498047,9.557648108111378
9,2133.3394261449484,2098.2935992872754,251979.0903930664,9.817989016093788
10,1197.9329072083697,1477.3464265127611,244723.15533447266,9.716006620644167
11,635.6352018905789,2369.1292392353957,215206.12567138672,9.48343056952222
12,1698.3204364660332,568.9486904580881,181651.47161865234,9.610226293542523
13,1849.3878021465307,1741.9832722487924,168566.04333496094,9.672009597262525
14,2719.2592510350396,3166.128754942176,168239.1010131836,9.767022255177059
15,3130.951149680145,1841.6673433121973,150019.41857910156,9.816863234342199
16,658.0568375751934,3305.411825011581,155858.25817871094,9.665796931142722
17,3331.327654838285,504.62362984260415,132307.40887451172,9.622069843485264
18,3567.2935001128635,2940.8912597758745,114168.98583984375,9.703737255357403
19,2078.2059769097946,3252.4015809206303,134421.88244628906,9.748493320886803
20,2002.6881065825528,2779.1365819692014,122467.44177246094,9.676730814752432
21,2513.8892451425304,1963.7715931906723,118317.00903320312,9.801024607538329
22,2301.168840975308,1051.321857394379,119162.15173339844,9.620446561188944
23,3068.229342759386,511.78823455765524,107865.72875976562,9.716215874212995
24,1672.033367976601,2240.1350540241197,100300.74877929688,9.526940340242755
25,3402.449092213678,1703.797002457932,96034.13018798828,9.813603482891757
