slice,image,review_reason,visual_classification,decision,used_in_primary_curve,condition_model_fit_eligible,relative_brightness,relative_brightness_error,comparison_counts,target_width_pixels,x_width_pixels,y_width_pixels,target_peak_counts
1,TOI_3505.01_50.000s_R-0001_aligned.fits,large star width,broad PSF / poor-seeing excursion,keep in the table but exclude from the plotted light curve,False,False,1.0130493878,0.0031881215,4596506.4915307052,24.8247694347,26.7723645064,22.8771743630,2395.1806640625
2,TOI_3505.01_50.000s_R-0002_aligned.fits,large star width,broad PSF / poor-seeing excursion,keep in the table but exclude from the plotted light curve,False,False,1.0059299562,0.0033621684,4397867.9435929190,24.3831425628,26.1439223628,22.6223627627,2453.2231445312
11,TOI_3505.01_50.000s_R-0011_aligned.fits,large star width,elongated PSF / tracking or seeing excursion,keep in the table but exclude from the plotted light curve,False,False,1.0044339496,0.0019370885,7112509.1676822817,25.7882326873,32.9769243973,18.5995409773,2268.5920410156
129,TOI_3505.01_50.000s_R-0129_aligned.fits,low comparison-star counts; unusual target brightness,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,1.0158132134,0.0051591556,2475261.2082860982,18.4041837047,17.3944313418,19.4139360676,2119.2285156250
130,TOI_3505.01_50.000s_R-0130_aligned.fits,low comparison-star counts; unusual target brightness,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,1.0242244277,0.0096698745,1431679.8705925806,19.4429903509,18.3282789396,20.5577017622,1595.6981201172
244,TOI_3505.01_50.000s_R-0244_aligned.fits,unusual target brightness,differential-flux excursion within the late-night trend,keep in the plotted light curve; no separate image problem found,True,True,0.9842175251,0.0030091576,4466276.8230594881,20.9567910335,22.7182246476,19.1953574194,2484.3515625000
245,TOI_3505.01_50.000s_R-0245_aligned.fits,large star width,elongated PSF / tracking or seeing excursion,keep in the table but exclude from the plotted light curve,False,False,1.0097164374,0.0030840805,4364257.2233995870,28.6163019706,20.2300996985,37.0025042427,1739.3547363281
253,TOI_3505.01_50.000s_R-0253_aligned.fits,unusual target brightness,field-wide vertical PSF trail confirmed across all eleven stars,keep in the table but exclude from the plotted light curve,False,True,0.9865057660,0.0024541902,5308434.8390381886,21.2241105954,21.2413186602,21.2069025306,2690.5529785156
263,TOI_3505.01_50.000s_R-0263_aligned.fits,unusual target brightness,differential-flux excursion within the late-night trend,keep in the plotted light curve; no separate image problem found,True,True,0.9856000858,0.0033753531,4001454.3821732048,20.0247977151,21.8354629492,18.2141324810,2748.2143554688
264,TOI_3505.01_50.000s_R-0264_aligned.fits,unusual target brightness,differential-flux excursion within the late-night trend,keep in the plotted light curve; no separate image problem found,True,True,0.9831355436,0.0032509158,4157695.8866490992,20.6345486610,22.9593583445,18.3097389774,2338.9299316406
266,TOI_3505.01_50.000s_R-0266_aligned.fits,low comparison-star counts,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,0.9904481232,0.0056296557,2477103.1329108444,21.4086544215,23.0143617005,19.8029471425,1763.3453369141
267,TOI_3505.01_50.000s_R-0267_aligned.fits,low comparison-star counts,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,0.9949162268,0.0041673602,3303598.7330610836,21.5254997106,23.3854544193,19.6655450018,1971.3013916016
268,TOI_3505.01_50.000s_R-0268_aligned.fits,low comparison-star counts,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,1.0078011930,0.0046817537,2940549.5177501231,21.5748147893,22.5424440710,20.6071855077,1971.6098632812
269,TOI_3505.01_50.000s_R-0269_aligned.fits,low comparison-star counts; unusual target brightness,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,0.9809362185,0.0042487483,3232440.2974630268,20.4945535845,22.6779958712,18.3111112978,2206.9772949219
270,TOI_3505.01_50.000s_R-0270_aligned.fits,low comparison-star counts,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,0.9954513113,0.0067809558,2069033.3611015875,20.7473755562,22.5620720775,18.9326790348,1850.4763183594
271,TOI_3505.01_50.000s_R-0271_aligned.fits,low comparison-star counts; unusual target brightness,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,0.9840163840,0.0049773862,2765227.0030375030,21.5844645436,24.3248602519,18.8440688353,1901.2690429688
273,TOI_3505.01_50.000s_R-0273_aligned.fits,low comparison-star counts,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,0.9920121975,0.0042985664,3188424.0116571374,22.3317469424,24.0641798232,20.5993140616,1727.9094238281
274,TOI_3505.01_50.000s_R-0274_aligned.fits,unusual target brightness,differential-flux excursion within the late-night trend,keep in the plotted light curve; no separate image problem found,True,True,0.9857723894,0.0039996969,3426851.9024132830,20.4641393443,23.3525522459,17.5757264427,1940.0688476562
275,TOI_3505.01_50.000s_R-0275_aligned.fits,low comparison-star counts,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,0.9967345295,0.0047692909,2910244.4385741036,21.2081953483,23.4238171630,18.9925735336,2204.4655761719
276,TOI_3505.01_50.000s_R-0276_aligned.fits,low comparison-star counts,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,0.9960303010,0.0057573380,2435882.3217579061,21.4611620431,23.5131515822,19.4091725041,1837.4749755859
277,TOI_3505.01_50.000s_R-0277_aligned.fits,low comparison-star counts; unusual target brightness,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,0.9795314741,0.0055639608,2514698.9898937866,21.5940229956,23.7552922525,19.4327537387,1757.0465087891
278,TOI_3505.01_50.000s_R-0278_aligned.fits,unusual target brightness,differential-flux excursion within the late-night trend,keep in the plotted light curve; no separate image problem found,True,True,0.9862874776,0.0035447623,3874126.6359630455,21.9977325792,23.7489695888,20.2464955695,1985.7293701172
281,TOI_3505.01_50.000s_R-0281_aligned.fits,low comparison-star counts,"field-wide transparency loss, consistent with cloud",keep in the table but exclude from the plotted light curve,False,False,0.9875515809,0.0044997351,3087261.5994242551,22.7563983531,24.9299777969,20.5828189092,1845.9407958984
