star,x_zero_indexed,y_zero_indexed,wcs_ra_deg,wcs_dec_deg,catalog_match_status,gaia_source_id,gaia_separation_arcsec,gaia_g_mag,gaia_bp_rp_mag,gaia_ruwe,gaia_variable_flag,gaia_non_single_star,gaia_sources_within_ground_aperture,additional_gaia_sources_within_ground_aperture,role,median_source_counts,median_source_snr,maximum_peak_counts,relative_flux_robust_scatter_ppt,frames_with_global_saturation_flag
T1,1847.7697571312,1742.2782584044,297.0436710770,18.6988837647,matched,1824561377891719424,0.6738484880,11.4764499664,0.7453060150,3.6938762665,NOT_AVAILABLE,0,10,9,target,883167.3694223646,649.9546137324,7790.0629882812,2.6894334161,0
C2,2717.5511958963,3166.0418374084,296.9497492724,18.5566396628,matched,1824533791366835328,0.5586839008,11.3406934738,2.2091560364,0.9911423326,NOT_AVAILABLE,0,8,7,comparison,877051.2155491807,638.1754835274,7478.0366210938,5.0299896377,0
C3,1696.4886274653,569.0435676901,297.0611632854,18.8167005995,matched,1824564715134346880,0.6726959808,11.1483526230,1.7531337738,0.9882543683,NOT_AVAILABLE,0,14,13,comparison,1064699.4639067464,749.5185430795,9299.0576171875,3.8839461076,0
C4,655.9210771991,3305.5391706089,297.1683188115,18.5402813361,matched,1821553805619459456,0.7719627036,11.3359651566,2.2956590652,1.0752198696,NOT_AVAILABLE,0,6,5,comparison,800135.6597076460,601.2966238112,7128.3676757812,5.9176811740,0
C5,3129.4405200752,1841.8396978082,296.9075302927,18.6902326895,matched,1824561863275786496,0.6469410415,11.3612136841,0.7504882812,1.1098533869,NOT_AVAILABLE,0,9,8,comparison,864860.3774334005,635.7581753422,7264.1933593750,4.8006429753,0
C6,2076.4329401829,3252.5715591676,297.0176494949,18.5472461319,matched,1824532829294051840,0.5857931017,11.6883449554,1.3478755951,1.0197548866,NOT_AVAILABLE,0,2,1,comparison,670284.7157330203,519.5145526178,6151.5566406250,4.1070203957,0
C7,3329.4582530315,504.7249243195,296.8878215635,18.8248856910,matched,1824575705902674176,0.6795305063,11.2925291061,0.2970361710,0.9460315108,NOT_AVAILABLE,0,9,8,comparison,808404.7752653346,603.1456805862,6627.4819335938,5.6636057013,0
C8,633.4050007315,2369.5648743628,297.1718540962,18.6343947192,matched,1824558324222755200,0.6901154997,11.1322011948,1.5725374222,1.0196050406,NOT_AVAILABLE,0,8,7,comparison,1100832.5328305371,764.7286440192,9589.2763671875,7.3157979091,0
C9,2001.3494026172,2779.5826067980,297.0261551396,18.5947329080,matched,1824557186003644032,0.7360095563,11.7012739182,0.8820590973,2.1562700272,NOT_AVAILABLE,0,8,7,comparison,636102.7213439106,498.5760569510,5883.8403320312,6.5538092787,0
C10,2299.3450577257,1051.7913444236,296.9965474037,18.7688132465,matched,1824564062299354624,0.7382330794,11.5856704712,0.6137371063,1.0941323042,NOT_AVAILABLE,0,13,12,comparison,675386.4913088133,526.7909312173,5859.5888671875,3.2377691691,0
C11,2512.4868891586,1964.0885501724,296.9728551451,18.6772984103,matched,1824561657117315712,0.6755163309,11.7086963654,1.6384410858,2.7463970184,NOT_AVAILABLE,0,8,7,comparison,636701.6073297595,498.6898354058,5966.1606445312,3.9144617184,0
