aperture,x_fits,y_fits,brightness_ratio,width_pixels,target_distance_pixels,edge_distance_pixels
C2,2720.259251,3167.128755,0.998060,9.767022,1668.831157,928.871245
C3,1699.320436,569.948690,1.077628,9.610226,1182.584696,568.948690
C4,659.056838,3306.411825,0.924612,9.665797,1965.845071,658.056838
C5,3131.951150,1842.667343,0.889974,9.816863,1285.255428,964.048850
C6,2079.205977,3253.401581,0.797443,9.748493,1527.784851,842.598419
C7,3332.327655,505.623630,0.784900,9.622070,1930.344780,504.623630
C8,636.635202,2370.129239,1.276687,9.483431,1366.447531,635.635202
C9,2003.688107,2780.136582,0.726525,9.676731,1048.555093,1315.863418
C10,2302.168841,1052.321857,0.706917,9.620447,825.057674,1051.321857
C11,2514.889245,1964.771593,0.701903,9.801025,700.406513,1581.110755
