sector,injected_depth_ppt,mean_total_recovered_depth_ppt,total_recovered_depth_std_ppt,mean_total_recovery_fraction,total_recovery_fraction_std,mean_total_bias_ppt,total_bias_std_ppt,mean_increment_recovery_fraction,increment_recovery_fraction_std,mean_increment_bias_ppt,trials
14,2.0,1.981054408065203,0.3247127327844766,0.9905272040326015,0.1623563663922383,-0.018945591934797154,0.32471273278447677,1.0039330728771791,0.002578856721698798,0.007866145754358634,6
14,3.0,2.9849874809423924,0.32338845145794964,0.9949958269807976,0.10779615048598327,-0.015012519057607226,0.32338845145794975,1.0039330728771827,0.0025788567217664344,0.011799218631548538,6
14,4.0,3.9889205538196824,0.32207937413700566,0.9972301384549206,0.08051984353425141,-0.011079446180317582,0.3220793741370055,1.0039330728772096,0.002578856721611363,0.015732291508837974,6
41,2.0,2.00120891011836,0.2204005969628469,1.00060445505918,0.11020029848142338,0.001208910118359996,0.22040059696284675,1.0004475098138035,0.0002636824644509248,0.0008950196276070096,6
41,3.0,3.001656419932365,0.22018982868391485,1.0005521399774548,0.07339660956130498,0.001656419932364694,0.2201898286839149,1.0004475098138705,0.0002636824644784063,0.0013425294416117423,6
41,4.0,4.002103929746521,0.21997917453171406,1.0005259824366302,0.054994793632928515,0.0021039297465206227,0.21997917453171395,1.0004475098139418,0.0002636824643061088,0.001790039255767685,6
54,2.0,2.079723753492258,0.23970354821527148,1.039861876746129,0.11985177410763577,0.07972375349225784,0.23970354821527165,1.000516808788744,0.0005164609981954303,0.0010336175774880295,6
54,3.0,3.0802405622809133,0.23934971365982805,1.0267468540936378,0.07978323788660935,0.08024056228091318,0.23934971365982813,1.0005168087887144,0.0005164609982232068,0.0015504263661433929,6
54,4.0,4.080757371070049,0.23899647130304583,1.0201893427675122,0.05974911782576146,0.0807573710700487,0.23899647130304594,1.0005168087888199,0.0005164609980922123,0.002067235155278913,6
81,2.0,2.039686780139609,0.3272430401365773,1.0198433900698045,0.16362152006828865,0.039686780139608906,0.3272430401365773,0.9998122628266778,0.00037787852946422404,-0.0003754743466443701,6
81,3.0,3.039499042967499,0.3269196548055149,1.013166347655833,0.10897321826850491,0.03949904296749889,0.3269196548055148,0.9998122628270819,0.0003778785294099912,-0.0005632115187543448,6
81,4.0,4.039311305794644,0.32659638648193245,1.009827826448661,0.08164909662048318,0.03931130579464429,0.3265963864819326,0.9998122628270978,0.00037787852940628823,-0.000750948691608805,6
